cod_ocorrencia;ano;mes_ano;munic;mcirc;regiao;roubo_comercio
419;2003;2003m04;Itaguaí;3302007;Baixada Fluminense;4
420;2003;2003m04;Paracambi;3303609;Baixada Fluminense;0
421;2003;2003m04;Nova Iguaçu;3303500;Baixada Fluminense;15
422;2003;2003m04;Mesquita;3302858;Baixada Fluminense;10
423;2003;2003m04;Belford Roxo;3300456;Baixada Fluminense;4
424;2003;2003m04;"Queimados;Japeri";9999981;Baixada Fluminense;1
425;2003;2003m04;Nova Iguaçu;3303500;Baixada Fluminense;6
426;2003;2003m04;Nilópolis;3303203;Baixada Fluminense;18
427;2003;2003m04;Nova Iguaçu;3303500;Baixada Fluminense;4
428;2003;2003m04;Duque de Caxias;3301702;Baixada Fluminense;32
429;2003;2003m04;Duque de Caxias;3301702;Baixada Fluminense;12
430;2003;2003m04;Duque de Caxias;3301702;Baixada Fluminense;0
431;2003;2003m04;Duque de Caxias;3301702;Baixada Fluminense;6
432;2003;2003m04;São João de Meriti;3305109;Baixada Fluminense;7
433;2003;2003m04;"Magé;Guapimirim";9999982;Baixada Fluminense;3
434;2003;2003m04;Magé;3302502;Baixada Fluminense;2
435;2003;2003m04;"Itaboraí;Tanguá";9999983;Interior;4
436;2003;2003m04;São Gonçalo;3304904;Grande Niterói;8
437;2003;2003m04;São Gonçalo;3304904;Grande Niterói;2
438;2003;2003m04;São Gonçalo;3304904;Grande Niterói;5
439;2003;2003m04;São Gonçalo;3304904;Grande Niterói;4
440;2003;2003m04;Niterói;3303302;Grande Niterói;28
441;2003;2003m04;Niterói;3303302;Grande Niterói;12
442;2003;2003m04;Niterói;3303302;Grande Niterói;11
443;2003;2003m04;Niterói;3303302;Grande Niterói;2
444;2003;2003m04;Niterói;3303302;Grande Niterói;7
445;2003;2003m04;Maricá;3302700;Grande Niterói;4
446;2003;2003m04;Barra do Pirai;3300308;Interior;2
447;2003;2003m04;Resende;3304201;Interior;9
