cod_ocorrencia;ano;mes_ano;munic;mcirc;regiao;roubo_rua
397;2003;2003m04;Rio de Janeiro;3304557;Capital;91
398;2003;2003m04;Rio de Janeiro;3304557;Capital;46
399;2003;2003m04;Rio de Janeiro;3304557;Capital;39
400;2003;2003m04;Rio de Janeiro;3304557;Capital;0
401;2003;2003m04;Rio de Janeiro;3304557;Capital;65
402;2003;2003m04;Rio de Janeiro;3304557;Capital;35
403;2003;2003m04;Rio de Janeiro;3304557;Capital;104
404;2003;2003m04;Rio de Janeiro;3304557;Capital;71
405;2003;2003m04;Rio de Janeiro;3304557;Capital;2
406;2003;2003m04;Rio de Janeiro;3304557;Capital;66
407;2003;2003m04;Rio de Janeiro;3304557;Capital;41
408;2003;2003m04;Rio de Janeiro;3304557;Capital;110
409;2003;2003m04;Rio de Janeiro;3304557;Capital;117
410;2003;2003m04;Rio de Janeiro;3304557;Capital;40
411;2003;2003m04;Rio de Janeiro;3304557;Capital;50
412;2003;2003m04;Rio de Janeiro;3304557;Capital;64
413;2003;2003m04;Rio de Janeiro;3304557;Capital;91
414;2003;2003m04;Rio de Janeiro;3304557;Capital;55
415;2003;2003m04;Rio de Janeiro;3304557;Capital;31
416;2003;2003m04;Rio de Janeiro;3304557;Capital;0
417;2003;2003m04;Rio de Janeiro;3304557;Capital;31
418;2003;2003m04;Seropédica;3305554;Baixada Fluminense;4
419;2003;2003m04;Itaguaí;3302007;Baixada Fluminense;3
420;2003;2003m04;Paracambi;3303609;Baixada Fluminense;1
421;2003;2003m04;Nova Iguaçu;3303500;Baixada Fluminense;60
422;2003;2003m04;Mesquita;3302858;Baixada Fluminense;30
423;2003;2003m04;Belford Roxo;3300456;Baixada Fluminense;28
424;2003;2003m04;"Queimados;Japeri";9999981;Baixada Fluminense;12
425;2003;2003m04;Nova Iguaçu;3303500;Baixada Fluminense;20
426;2003;2003m04;Nilópolis;3303203;Baixada Fluminense;41
427;2003;2003m04;Nova Iguaçu;3303500;Baixada Fluminense;12
428;2003;2003m04;Duque de Caxias;3301702;Baixada Fluminense;144
429;2003;2003m04;Duque de Caxias;3301702;Baixada Fluminense;25
